© 2000-2018 QIAGEN. All rights reserved.															
Symbol	Synonym(s)	Entrez Gene Name	Gene Symbol - human (HUGO / HGNC / Entrez Gene)	Expr Other	Expr Log Ratio	Expr p-value	Location	Family	Drugs	Entrez Gene ID for Human	Entrez Gene ID for Mouse	Entrez Gene ID for Rat	PubChem ID	HMDB ID	CAS ID
CCL2	C-C motif chemokine ligand 2, Ccl12, chemokine (C-C motif) ligand 12, CHEMOKINE C-C MOTIF LIGAND 2, GDCF-2, HC11, HSMCR30, JE, LOC100048556, LOC100504977, Macrophage Chemotactic Factor, MCAF, MCP-1, MCP-5, Monocyte Chemoattractant Protein 5, SCYA2, Scya12, Sigje, Small inducible cytokine A12, SMC-CF	C-C motif chemokine ligand 2	CCL2	223.3138307	0.154034032	0.383372267	Extracellular Space	cytokine	CNTO 888, mimosine	6347	20293	287562			
CCND1	AI327039, B-CELL CLL/LYMPHOMA 1, BCL1, cD1, CycD1, CYCLIN D1, Cyl-1, D11S287E, G1/S-Specific Cyclin D1, PRAD1, U21B31	cyclin D1	CCND1	4258.67612	-0.480163915	3.75683E-18	Nucleus	transcription regulator	arsenic trioxide/tretinoin, arsenic trioxide/daunorubicin/tretinoin, arsenic trioxide/gemtuzumab ozogamicin/tretinoin, arsenic trioxide/idarubicin/tretinoin, arsenic trioxide/cytarabine/methotrexate, arsenic trioxide	595	12443	58919			
CCND3	9230106B05RIK, AA682053, AL024085, AW146355, C78795, CYCD3, Cyclin D3, Riken 9230106B05	cyclin D3	CCND3	2195.868153	0.556612859	6.50624E-13	Nucleus	kinase		896	12445	25193			
CD3E	AI504783, CD3, CD3 antigen, epsilon polypeptide, CD3 antigen, _ polypeptide, Cd3-_, CD3A, CD3e molecule, CD3epsilon, IMD18, T3E, TCR, Tcr-epsilon, Tcr-_, TCRE	CD3e molecule					Plasma Membrane	transmembrane receptor	blinatumomab, muromonab-CD3	916	12501	315609			
CDC25B	AI604853, CDC25HU2, cell division cycle 25B	cell division cycle 25B	CDC25B	5731.820387	0.262638503	2.97591E-05	Nucleus	phosphatase		994	12531	171103			
CDC42	AI747189, AU018915, CDC42Hs, cell division cycle 42, CELLULAR GROWTH REGULATING, G25K, TKS	cell division cycle 42	CDC42	9968.083615	-0.02207565	0.708962762	Cytoplasm	enzyme		998					
CHGA	CGA, ChrA, CHROMOGRANIN A, LOC100360310, parathyroid secretory protein 1, PST	chromogranin A	CHGA	9.881693089	-0.647978677	0.346259391	Cytoplasm	other		1113	12652	24258			
cisplatin	"15663-27-1, Abiplatin, azane;dichloroplatinum(2+), Biocisplatinum, Briplatin, Carboquone, CDDP, cis diamminedichloroplatinum, Cis Pt II, cis-DDP, cis-diaminedichloroplatinum II, cis-diamminedichloroplatinum (II), cis-dichlorodiammineplatinum(II), Cismaplat, cisp, Cisplatine, cisplatino, cisplatinum, Cisplatyl, Citoplationo, Cl2H6N2Pt+2, DDP, dichlorodiammineplatinum, Lederplatin, Neoplatin, NSC-119875, Plastin, Platamine, Platiblastin, Platidiam, Platinex, platino, Platinol, Platinol-AQ, Platinoxan, platinum diamminodichloride, platinum(II), diamminedichloro-, cis-, platinum, diamminedichloro-, (SP-4-2)-, Randa"						Other	chemical drug					441203	HMDB0014656	15663-27-1
CPNE6	AU067659, BB076446, copine 6, copine VI, LOC305894	copine 6					Plasma Membrane	transporter		9362	12891	691478			
CREB1	2310001E10Rik, 3526402H21RIK, AV083133, CAMP RESPONSE ELEMENT binding protein 1, cAMP responsive element binding protein 1, Cbp, CREB	cAMP responsive element binding protein 1	CREB1	618.9596701	-0.320512944	0.004047537	Nucleus	transcription regulator		1385	12912	81646			
CREM	cAMP responsive element modulator, CREM1, Crem _, Crem _, Crem _, Crem _, CREM-2, hCREM-2, ICER, Icer-1	cAMP responsive element modulator	CREM	595.2861999	1.555667432	3.69368E-44	Nucleus	transcription regulator		1390	12916	25620			
CUL7	2510004L20RIK, 3M1, AA409809, C230011P08Rik, cullin 7, dJ20C7.5, KIAA0076, LOC680835, LOC682940, p185, p193, similar to cullin 7	cullin 7	CUL7	676.0880214	-0.100477585	0.399060615	Cytoplasm	other		9820	66515	680835			
CX3CL1	AB030188, ABCD-3, AI848747, C-X3-C motif chemokine ligand 1, C3Xkine, chemokine (C-X3-C motif) ligand 1, CX3C, CX3CL, CXC3, CXC3 CHEMOKINE precursor, CXC3C, D8Bwg0439e, FK, FKN, fractalkine, neurotactin, NTN, NTT, SCYD1	C-X3-C motif chemokine ligand 1	CX3CL1	366.7692575	-1.597570072	2.08668E-51	Extracellular Space	cytokine		6376	20312	89808			
CYP17A1	17 alpha-hydroxylase, 17 _-hydroxylase, C17,20 Lyase, CPT7, CYP17, CYP17A, CYPXVII, cytochrome P450 family 17 subfamily A member 1, cytochrome P450, family 17, subfamily a, polypeptide 1, p450 17alpha, p450 17alpha hydroxylase, P450C17, P450c17alpha, S17AH	cytochrome P450 family 17 subfamily A member 1					Cytoplasm	enzyme	abiraterone acetate, orteronel, abiraterone, CFG-920, seviteronel, abiraterone/prednisolone, ketoconazole, CYP17A1 inhibitor	1586	13074	25146			
cytarabine	1-arabinofuranosylcytosine, 1-beta-D-arabinofuranosylcytosine, 1-beta-D-arabinofuransylcytosine, 1-beta-D-aribinofuranosylcytosine, 1-_-D-arabinofuranosylcytosine, 1-_-D-arabinofuransylcytosine, 1-_-D-aribinofuranosylcytosine, 147-94-4, 2(1H)-pyrimidinone, 4-amino-1-beta-D-arabinofuranosyl-, 2(1H)-pyrimidinone, 4-amino-1-_-D-arabinofuranosyl-, 4-amino-1-[(2R,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one, 69-74-9, Alexan, AR3, Ara-C, arabinofuranosylcytosine, arabinosylcytosine, Arabitin, aracytidine, aracytin, Aracytine, Arafcyt, beta-ara C, C9H13N3O5, Cytarabine Hydrochloride, Cytarbel, cytonal, Cytosar, Cytosar U, Cytosar-U, cytosine arabinoside, Cytosine-1-_-d-arabinofuranoside, Depocyt, Depocyt (liposomal), depocyte, Erpalfa, Hydrochloride, Cytarabine, Iretin, liposomal cytarabine, Spongocytidine, Tarabine, Udicil, _-ara C						Other	chemical drug					6253	HMDB0015122	69-74-9
cytokine	CYTOKINES						Extracellular Space	group							
D-glucose	(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol, 2280-44-6, 50-99-7, biliary glucose, C6H12O6, D-glucose, dextrose, glucose, sugar						Other	chemical - endogenous mammalian					5793	HMDB0000122	2280-44-6
dasatinib	(18F)-N-(2-chloro-6-methylphenyl)-2-(6-(4-(2-hydroxyethyl)piperazin-1-yl)-2-methylpyrimidin-4-ylamino)thiazole-5-carboxamide, 302962-49-8, 5-thiazolecarboxamide, N-(2-chloro-6-methylphenyl)-2-((6-(4-(2-hydroxyethyl)-1-piperazinyl)-2-methyl-4-pyrimidinyl)amino)-, 863127-77-9, BMS-354825, C22H26ClN7O2S, dasatinib anhydrous, N-(2-chloro-6-methylphenyl)-2-((6-(4-(2-hydroxyethyl)piperazin-1-yl)-2-methylpyrimidin-4-yl)amino)thiazole-5-carboxamide, N-(2-chloro-6-methylphenyl)-2-(6-(4-(2-hydroxyethyl)piperazin-1-yl)-2-methylpyrimidin-4-ylamino)thiazole-5-carboxamide, N-(2-chloro-6-methylphenyl)-2-[[6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl]amino]-1,3-thiazole-5-carboxamide, Sprycel						Other	chemical drug					3062316	HMDB0015384	863127-77-9
DDIT3	C/EBP homology, C/EBP-homologous, C/EBPzeta, Cebp Zeta, Cebp _, CEBPZ, CHOP, CHOP-10, DNA DAMAGE-INDUCIBLE transcript, DNA-damage inducible transcript 3, GADD153, RM4	DNA damage inducible transcript 3	DDIT3	84.95079692	0.16772836	0.531003535	Nucleus	transcription regulator		1649	13198	29467			
doramapimod	1-(3-(1,1-dimethylethyl)-1-(4-methylphenyl)-1H-pyrazol-5-yl)-3-(4-(2-(morpholin-4-yl)ethoxy)naphthalen-1-yl)urea, 1-(5-tert-butyl-2-p-tolyl-2H-pyrazol-3-yl)-3(4-(2-morpholin-4-yl-ethoxy)naphthalen-1-yl)urea, 1-[5-tert-butyl-2-(4-methylphenyl)pyrazol-3-yl]-3-[4-(2-morpholin-4-ylethoxy)naphthalen-1-yl]urea, 285983-48-4, BIRB 0796, BIRB-796, C31H37N5O3, urea, N-(3-(1,1-dimethylethyl)-1-(4-methylphenyl)-1H-pyrazol-5-yl)-N'-(4-(2-(4-morpholinyl)ethoxy)-1-naphthalenyl)-						Other	chemical - kinase inhibitor					156422	--	285983-48-4
DUSP1	3CH134, BAD2, CL100, dual specificity phosphatase 1, erp, Growth factor-inducible immediate early, HVH1, MAP KINASE PHOSPHATASE 1, MKP-1, MPK-1, Osiptpase, PTP Non-Receptor Type16, Ptpase, PTPN10, PTPN16, U19515	dual specificity phosphatase 1					Nucleus	phosphatase		1843	19252	114856			
DUSP10	2610306G15Rik, AI158871, dual specificity phosphatase 10, MKP-5	dual specificity phosphatase 10	DUSP10	416.3828759	1.128023638	1.51125E-20	Nucleus	phosphatase		11221	63953	63995			
DUSP16	3830417M17Rik, AW558566, D6Ertd213e, dual specificity phosphatase 16, MKP-7, Mkpm	dual specificity phosphatase 16	DUSP16	2786.64585	0.553496614	4.6533E-24	Nucleus	phosphatase		80824	70686	297682			
DUSP2	dual specificity phosphatase 2, PAC-1, PHOSPHATASE	dual specificity phosphatase 2	DUSP2	253.7082988	-1.356358979	8.89707E-27	Nucleus	phosphatase		1844	13537	311406			
DUSP9	dual specificity phosphatase 9, Dusp4, MKP-4, Mpk4, Pyst3	dual specificity phosphatase 9	DUSP9	447.8363619	-0.038199351	0.759420808	Nucleus	phosphatase		1852	75590	293847			
DYRK1B	AOMS3, dual specificity tyrosine phosphorylation regulated kinase 1B, dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1b, MIRK	dual specificity tyrosine phosphorylation regulated kinase 1B	DYRK1B	108.1330302	0.700975373	0.000890456	Nucleus	kinase		9149	13549	308468			
EGF	AI790464, EGF-1, epidermal growth factor, HB-EGF, HOMG4, URG	epidermal growth factor	EGF	134.0170551	0.995869689	5.88167E-06	Extracellular Space	growth factor		1950	13645	25313			
EGR1	A530045N19Rik, AT225, Early Growth Response 1, egr, ETR103, G0S30, Krox-1, KROX-24, Ngf1, NGF1-A, Ngfi, NGFI-A, TIS8, V5, Zenk, Zfp-6, ZIF-268, ZIF/268, ZNF225	early growth response 1	EGR1	724.5765991	-1.618335588	4.60866E-55	Nucleus	transcription regulator		1958	13653	24330			
ELK1	ELK, ELK1, ETS transcription factor, ELK1, member of ETS oncogene family, p62TCF, RGD:2549, TCF/ELK	ELK1, ETS transcription factor	ELK1	2765.927371	0.601928127	1.78264E-31	Nucleus	transcription regulator		2002	13712	314436			
ELK4	2310011G17RIK, A130026I01RIK, BB162516, ELK4, ETS transcription factor, ELK4, member of ETS oncogene family, LOC100502885, LOC100506969, SAP, SAP-1, sap1a, SRF accessory protein 1, TCF/SAP	ELK4, ETS transcription factor	ELK4	2027.061805	-0.400108077	1.32436E-06	Nucleus	transcription regulator		2005	13714	304786			
ESR1	Alpha estrogen receptor, ER, Er alpha (46 kDa isoform), Er _ (46 kDa isoform), ER-alpha, ER-_, ER66, ERa, ESR, ESRA, Estr, Estra, estrogen receptor 1, estrogen receptor 1 (alpha), estrogen receptor 1 (_), Estrogen receptor _, ESTRR, NR3A1, RNESTROR, TERP-1, _ estrogen receptor	estrogen receptor 1	ESR1	17.5879185	-0.109304302	0.843240287	Nucleus	ligand-dependent nuclear receptor	17-alpha-ethinylestradiol, fulvestrant, beta-estradiol, estradiol 17beta-cypionate, estriol, estrone, estradiol valerate, estrone sulfate, mestranol, CHF-4227, bazedoxifene, estradiol valerate/testosterone enanthate, TAS-108, ethynodiol diacetate, ethinyl estradiol/ethynodiol diacetate, estradiol acetate, esterified estrogens, estradiol cypionate/medroxyprogesterone acetate, estradiol/norethindrone acetate, estradiol cypionate/testosterone cypionate, synthetic conjugated estrogens, B, etonogestrel, CC8490, MITO-4509, cyproterone acetate/ethinyl estradiol, ethinyl estradiol/etonogestrel, pipendoxifene, chlorotrianisene, icaritin, megestrol acetate/tamoxifen, sulindac/tamoxifen, sulindac/toremifene, raloxifene/sulindac, F18 16-alpha-fluoroestradiol, ARN-810, Z-endoxifen, goserelin/tamoxifen, raloxifene/teriparatide, AZD9496, elacestrant, SRN-927, fulvestrant/palbociclib, anastrozole/tamoxifen, fulvestrant/letrozole/tamoxifen, anastrozole/exemestane/fulvestrant, anastrozole/goserelin/tamoxifen, anastrozole/fulvestrant/tamoxifen, exemestane/fulvestrant, fulvestrant/letrozole, letrozole/tamoxifen, exemestane/tamoxifen, exemestane/fulvestrant/letrozole/tamoxifen, anastrozole/exemestane/fulvestrant/tamoxifen, anastrozole/fulvestrant/goserelin/tamoxifen, exemestane/fulvestrant/tamoxifen, exemestane/fulvestrant/goserelin/letrozole/tamoxifen, anastrozole/fulvestrant, fulvestrant/pertuzumab/trastuzumab, pertuzumab/tamoxifen/trastuzumab, LSZ102, selective estrogen receptor modulator, desogestrel/ethinyl estradiol, drospirenone/ethinyl estradiol, ethinyl estradiol/norelgestromin, ethinyl estradiol/norethindrone, ethinyl estradiol/levonorgestrel, ethinyl estradiol/norgestrel, ethinyl estradiol/norgestimate, diethylstilbestrol, ospemifene, toremifene, tamoxifen, raloxifene, everolimus/tamoxifen, H3B-6545, arzoxifene, clomiphene, SAR439859, estramustine phosphate, diethylstilbestrol diphosphate, estradiol/levonorgestrel, tamoxifen/trastuzumab, fulvestrant/trastuzumab, everolimus/fulvestrant, TTC-352, 4-hydroxytamoxifen, dienestrol, acolbifene, estramustine, medroxyprogesterone acetate, desogestrel, danazol, trilostane, fluoxymesterone, norgestimate, progesterone, S-equol	2099	13982	24890			
ESR2	beta ESTROGEN receptor, ER-beta, ER-_, Erb, ERB2, ER[b], ESR-BETA, ESR-_, ESRB, ESTRB, estrogen receptor 2, estrogen receptor 2 (beta), estrogen receptor 2 (_), estrogen receptor beta, Estrogen receptor _, NR3A2, _ ESTROGEN receptor	estrogen receptor 2	ESR2	101.9363555	0.097540121	0.697104095	Nucleus	ligand-dependent nuclear receptor	17-alpha-ethinylestradiol, fulvestrant, beta-estradiol, estradiol 17beta-cypionate, estrone, estradiol valerate, CHF-4227, bazedoxifene, estradiol valerate/testosterone enanthate, TAS-108, ethinyl estradiol/ethynodiol diacetate, estradiol acetate, esterified estrogens, estradiol cypionate/medroxyprogesterone acetate, estradiol/norethindrone acetate, estradiol cypionate/testosterone cypionate, synthetic conjugated estrogens, B, CC8490, MITO-4509, megestrol acetate/tamoxifen, sulindac/tamoxifen, sulindac/toremifene, raloxifene/sulindac, goserelin/tamoxifen, raloxifene/teriparatide, anastrozole/tamoxifen, fulvestrant/letrozole/tamoxifen, anastrozole/exemestane/fulvestrant, anastrozole/goserelin/tamoxifen, anastrozole/fulvestrant/tamoxifen, exemestane/fulvestrant, fulvestrant/letrozole, letrozole/tamoxifen, exemestane/tamoxifen, exemestane/fulvestrant/letrozole/tamoxifen, anastrozole/exemestane/fulvestrant/tamoxifen, anastrozole/fulvestrant/goserelin/tamoxifen, exemestane/fulvestrant/tamoxifen, exemestane/fulvestrant/goserelin/letrozole/tamoxifen, anastrozole/fulvestrant, pertuzumab/tamoxifen/trastuzumab, desogestrel/ethinyl estradiol, drospirenone/ethinyl estradiol, ethinyl estradiol/norelgestromin, ethinyl estradiol/norethindrone, ethinyl estradiol/levonorgestrel, ethinyl estradiol/norgestrel, ethinyl estradiol/norgestimate, diethylstilbestrol, ospemifene, toremifene, tamoxifen, prinaberel, raloxifene, everolimus/tamoxifen, arzoxifene, clomiphene, estramustine phosphate, diethylstilbestrol diphosphate, estradiol/levonorgestrel, tamoxifen/trastuzumab, fulvestrant/trastuzumab, genistein, trilostane	2100	13983	25149			
estradiol benzoate	50-50-0, beta-estradiol 3-benzoate, C25H28O3, E2-3-benzoate, EB, estra-1,3,5(10)-triene-3,17-diol, (17beta)-, 3-benzoate, estradiol, 3-benzoate, estradiol-17beta 3-benzoate, [(8R,9S,13S,14S,17R)-17-hydroxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-3-yl] benzoate, _-estradiol 3-benzoate						Other	chemical drug					5767	--	50-50-0
ETV1	ER81, ETS variant 1, Etsrp81, LOC221810	ETS variant 1	ETV1	90.93391317	-2.61864999	4.55069E-32	Nucleus	transcription regulator		2115	14009	362733			
FAS	AI196731, ALPS1A, APO-1, APT1, CD95, CD95 receptor, CD95L, Fas (TNF receptor superfamily member 6), Fas cell surface death receptor, FAS/APO1, FAS1, FASTM, lpr, Receptors for Fas Ligand, Tnf receptor member 6, TNFR6, TNFRSF6	Fas cell surface death receptor	FAS	612.296848	-1.827677187	3.05106E-92	Plasma Membrane	transmembrane receptor	APO010	355	14102	246097			
FOS	AP-1, C-FOS, D12Rfj1, FBJ osteosarcoma oncogene, Fos proto-oncogene, AP-1 transcription factor subunit, p55	Fos proto-oncogene, AP-1 transcription factor subunit	FOS	201.3047206	-1.60678859	2.18871E-18	Nucleus	transcription regulator		2353	14281	314322			
GLI1	AV235269, GL1, GLI, GLI family zinc finger 1, GLI-Kruppel family member GLI1, ZFP5	GLI family zinc finger 1	GLI1	1118.528528	-0.574687314	1.76159E-13	Nucleus	transcription regulator		2735	14632	140589			
GNAI3	87U6, AI158965, ARCND1, AW537698, G alpha I3, G protein subunit alpha i3, G protein subunit _ i3, G _ I3, G-I3, G-protein _ i3, GI alpha3, GIP3A, guanine nucleotide binding protein (G protein), alpha inhibiting 3, guanine nucleotide binding protein (G protein), _ inhibiting 3, STIMULATORY G	G protein subunit alpha i3	GNAI3	7062.829782	0.211249942	2.21563E-05	Cytoplasm	enzyme		2773	14679	25643			
GNAQ	1110005L02Rik, 6230401I02Rik, AA408290, AW060788, CMC1, DKFZp686D0521, Dsk1, Dsk10, G protein alpha Q, G protein alpha Q/11, G protein subunit alpha q, G protein subunit _ q, G protein _ Q, G protein _ Q/11, G-ALPHA-q, G-_-q, GAQ, Gq, Gq protein alpha subunit, Gq protein _ subunit, GqI, guanine nucleotide binding protein, alpha q polypeptide, guanine nucleotide binding protein, _ q polypeptide, Pst receptor, SWS	G protein subunit alpha q	GNAQ	166.816469	-2.061139615	1.55298E-32	Plasma Membrane	enzyme		2776	14682	81666			
HAND2	AI225906, AI661148, bHLHa26, dHAND, DHAND2, Ehand2, heart and neural crest derivatives expressed 2, Hed, Th2, Thing2	heart and neural crest derivatives expressed 2	HAND2	35.50135743	-0.791202991	0.024982115	Nucleus	transcription regulator		9464	15111	64637			
HDAC3	AW537363, HD3, histone deacetylase 3, RPD3, RPD3-2	histone deacetylase 3	HDAC3	941.2367006	0.357088604	5.06021E-06	Nucleus	transcription regulator	tributyrin, belinostat, pyroxamide, mocetinostat, bortezomib/vorinostat, chidamide, 4SC-202, vorinostat, trametinib/vorinostat	8841	15183	84578			
