© 2000-2018 QIAGEN. All rights reserved.															
Symbol	Synonym(s)	Entrez Gene Name	Gene Symbol - human (HUGO / HGNC / Entrez Gene)	Expr Other	Expr Log Ratio	Expr p-value	Location	Family	Drugs	Entrez Gene ID for Human	Entrez Gene ID for Mouse	Entrez Gene ID for Rat	PubChem ID	HMDB ID	CAS ID
ALKBH2	9530023G02, ABH2, alkB homolog 2, alpha-ketoglutarate-dependent dioxygenase, alkB homolog 2, _-ketoglutarate-dependent dioxygenase, AU016977, mABH2, RGD1306377	alkB homolog 2, alpha-ketoglutarate dependent dioxygenase	ALKBH2	518.1424221	0.454392643	2.3469E-05	Nucleus	enzyme		121642	231642	304578			
ALKBH3	1700108H04Rik, 1810020C19Rik, ABH3, alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase, alkB homolog 3, _-ketoglutarate-dependent dioxygenase, DEPC-1, hABH3, mABH3, PCA1	alkB homolog 3, alpha-ketoglutaratedependent dioxygenase	ALKBH3	328.0587427	0.080789515	0.584332721	Nucleus	enzyme		221120	69113	362169			
AMPK	AMP KINASE, AMP-activated kinase, Amp-pk						Cytoplasm	complex							
APBB1	amyloid beta (A4) precursor protein-binding, family B, member 1, amyloid beta precursor protein binding family B member 1, AMYLOID precursor protein-binding family B, amyloid _ (A4) precursor protein-binding, family B, member 1, amyloid _ precursor protein binding family B member 1, FE65, MGC:9072, RIR	amyloid beta precursor protein binding family B member 1	APBB1	2173.316515	0.160491535	0.021693254	Cytoplasm	transcription regulator		322	11785	29722			
APEX1	APE, APE1, APEN, APEX, APEX NUCLEASE, apurinic/apyrimidinic endodeoxyribonuclease 1, apurinic/apyrimidinic endonuclease 1, APX, HAP1, REF-1	apurinic/apyrimidinic endodeoxyribonuclease 1	APEX1	7489.844732	0.158699156	0.017732277	Nucleus	enzyme	lucanthone	328	11792	79116			
aphidicolin	38966-21-1, 8,11a-methano-11aH-cyclohepta(a)naphthalene-4,9-dimethanol, tetradecahydro-3,9-dihydroxy-4,11b-dimethyl-, (3R-(3-alpha,4-alpha,4a-alpha,6a-beta,8-beta,9-beta,11a-beta,11b-beta))-, 8,11a-methano-11aH-cyclohepta(a)naphthalene-4,9-dimethanol, tetradecahydro-3,9-dihydroxy-4,11b-dimethyl-, (3R-(3-_,4-_,4a-_,6a-_,8-_,9-_,11a-_,11b-_))-, 9,15-Cyclo-C,18-dinor-14,15-secoandrostane-4,17-dimethanol, 3,17-dihydroxy-4-methyl-, (3alpha,4alpha,5alpha,17alpha)-, C20H34O4, tetradecahydro-3,9-dihydroxy-4,11b-dimethyl-8,11a-methano-11aH-cyclohepta(a)naphthalene-4,9-dimethanol						Other	chemical toxicant					440910	--	38966-21-1
APLF	2010301N04Rik, AI452191, APFL, aprataxin and PNKP like factor, C2orf13, PALF, RGD1565557, Xip1, ZCCHH1	aprataxin and PNKP like factor	APLF	143.6779205	-0.740422986	7.75907E-05	Cytoplasm	enzyme		200558	72103	500247			
APP	AAA, Abetapp, ABPP, AD1, Adap, Ag, amyloid beta (A4) precursor protein, amyloid beta precursor protein, Amyloid precursor, amyloid precursor protein, amyloid _ (A4) precursor, amyloid _ (A4) precursor protein, amyloid _ A4 precursor, amyloid _ A4 precursor protein, amyloid _ precursor, amyloid _ precursor protein, amyloid _-protein precursor, amyloid-beta-protein, amyloid-_-protein, Amyloidogenic glycoprotein, APP isoform 1, APPI, appican, beta amyloid precursor protein, betaApp, CTFgamma, CVAP, E030013M08RIK, P3, PN-II, PN2, PreA4, protease nexin2, _ amyloid precursor protein, _ APP, _ PP, _-amyloid precursor	amyloid beta precursor protein	APP	28400.8379	-0.367494459	2.59711E-18	Plasma Membrane	other	bapineuzumab, florbetapir F18, florbetaben F	351	11820	54226			
APTX	2410016G21Rik, AA388047, AOA, AOA1, APRATAXIN, AXA1, EAOH, EOAHA, FHA-HIT	aprataxin	APTX	1761.609733	0.33244296	9.11522E-07	Nucleus	phosphatase		54840	66408	259271			
ARHGAP1	B230365D05RIK, C76222, CDC42 GTPase-ACTIVATING, CDC42GAP, p50rhoGAP, Rho GTPase activating protein 1, RHOGAP1, RHOGAP	Rho GTPase activating protein 1	ARHGAP1	2006.680348	-0.622767562	2.41521E-19	Cytoplasm	other		392	228359	311193			
ARID1A	1110030E03Rik, AT rich interactive domain 1A (SWI-like), AT-rich interaction domain 1A, B120, BAF250, BAF250A, BM029, C1orf4, CSS2, ELD, hELD, hOSA1, HSP16.2, MRD14, OSA1, P270, SMARCF1	AT-rich interaction domain 1A	ARID1A	5305.564198	0.171093331	0.017607144	Nucleus	transcription regulator		8289	93760	297867			
ARID1B	6A3-5, 8030481M12, 9330189K18RIK, AI836955, Ardi1b, AT rich interactive domain 1B (SWI-like), AT-rich interaction domain 1B, B230217J03RIK, BAF210, BAF250B, BRIGHT, CSS1, DAN15, Eld/Osa, ELD/OSA1, LOC497729, mKIAA1235, MRD12, OSA2, P250R, SMCF1	AT-rich interaction domain 1B	ARID1B	4286.048671	-0.300303793	5.8505E-06	Nucleus	transcription regulator		57492	239985	282546			
arsenic	7440-38-2, arsenic, As						Other	chemical toxicant					5359596	HMDB0002290	7440-38-2
ASCC3	activating signal cointegrator 1 complex subunit 3, ASC1p200, B630009I04RIK, BC023451, D430001L07RIK, D630041L21, DJ467N11.1, HELIC1, RNAH	activating signal cointegrator 1 complex subunit 3	ASCC3	2289.327861	-0.357710061	8.43208E-07	Cytoplasm	enzyme		10973	77987	309887			
ASF1A	2310079C17Rik, anti-silencing function 1A histone chaperone, C79052, CGI-98, CIA, HSPC146	anti-silencing function 1A histone chaperone					Nucleus	other		25842	66403	294408			
ATF2	activating transcription factor 2, CRE-BP, CRE-BP1, CREB-2, D130078H02Rik, D18875, HB16, LOC100047997, mXBP, Tg(Gzma-Klra1)7Wum, TREB7	activating transcription factor 2	ATF2	1837.149839	0.289679109	0.000275836	Nucleus	transcription regulator		1386	11909	81647			
ATF3	activating transcription factor 3, AIT3, LRF-1, LRFI, LRG-21	activating transcription factor 3	ATF3	614.7737634	1.651654648	6.24738E-74	Nucleus	transcription regulator		467	11910	25389			
ATM	AI256621, AT1, ATA, ataxia telangiectasia mutated, ATC, ATD, ATDC, ATE, ATM serine/threonine kinase, C030026E19RIK, TEL1, TELO1	ATM serine/threonine kinase	ATM	934.2949046	-0.234418985	0.553495769	Nucleus	kinase	AZD0156	472	11920	300711			
ATMIN	ASCIZ, ATM interactor, gpg6, KIAA0431, mKIAA0431, RGD1305781, ZNF822	ATM interactor	ATMIN	4597.298431	-0.12254625	0.030471418	Nucleus	other		23300	234776	315037			
atorvastatin	(3R,5R)-7-[2-(4-fluorophenyl)-3-phenyl-4-(phenylcarbamoyl)-5-propan-2-ylpyrrol-1-yl]-3,5-dihydroxyheptanoic acid, 110862-48-1, 134523-00-5, 134523-03-8, 1H-pyrrole-1-heptanoic acid, 2-(4-fluorophenyl)-beta,delta-dihydroxy-5-(1-methylethyl)-3-phenyl-4-((phenylamino)carbonyl)-, calcium salt (2:1), (R-(R*,R*))-, 1H-pyrrole-1-heptanoic acid, 2-(4-fluorophenyl)-_,_-dihydroxy-5-(1-methylethyl)-3-phenyl-4-((phenylamino)carbonyl)-, calcium salt (2:1), (R-(R*,R*))-, 344423-98-9, Atorpic, atorvastatin acid, atorvastatin calcium, atorvastatin calcium salt, atorvastatin, calcium salt, C33H35FN2O5, Cardyl, CI 981, Lipitor, Liprimar, liptonorm, Sortis, Sotis, Torvacard, Torvast, Totalip, Tozalip, Tulip, Xarator, Xavator						Other	chemical drug					60823	HMDB0005006	134523-03-8
ATP	56-65-5, 9-beta-D-arabinofuranosyladenine 5'-triphosphate, 9-_-D-arabinofuranosyladenine 5'-triphosphate, adenosine 5'-(tetrahydrogen triphosphate), adenosine 5'-triphosphate, ATP, ATP4-, C10H16N5O13P3, [[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate						Other	chemical - endogenous mammalian					5957	HMDB0000538	56-65-5
ATP23	1110068E08Rik, 2410012H02Rik, ATP23 metallopeptidase and ATP synthase assembly factor homolog, KUB3, XRCC6BP1	ATP23 metallopeptidase and ATP synthase assembly factor homolog	XRCC6BP1	397.4921532	0.020241755	0.899458023	Plasma Membrane	kinase		91419	68876	299828			
ATR	ataxia telangiectasia and Rad3 related, Ataxia-telangiectasia-like, ATR serine/threonine kinase, FCTCS, FRP1, LOC100365674, LOC367198, LOC684113, MEC1, SCKL, SCKL1	ATR serine/threonine kinase	ATR	987.9919321	-0.614048303	2.36414E-09	Nucleus	kinase	AZD6738, VX-970, VX-803, BAY1895344	545	245000	685055			
ATXN3	2210008M02Rik, AI463012, AI647473, AT3, ATAXIN 3, ATX3, JOS, MJD, MJD1, Rsca3, SCA3	ataxin 3	ATXN3	643.2064151	0.045339867	0.687562082	Nucleus	peptidase		4287	110616	60331			
AZD7762	3-(carbamoylamino)-5-(3-fluorophenyl)-N-(3-piperidyl)thiophene-2-carboxamide, 860352-01-8						Other	chemical drug					--	--	860352-01-8
BABAM1	5430437P03Rik, BRISC and BRCA1 A complex member 1, C19orf62, FLJ20571, HSPC142, MERIT40, NBA1	BRISC and BRCA1 A complex member 1					Nucleus	other		29086	68251	290631			
BABAM2	6030405P19Rik, AI429776, B830038C02Rik, BRCC4, BRCC45, BRE, BRISC and BRCA1 A complex member 2	BRISC and BRCA1 A complex member 2	BRE	2495.891925	-0.637222672	2.06789E-17	Cytoplasm	other		9577	107976	362704			
BACH1	6230421P05RIK, AI323795, BTB and CNC Homology 1, BTB and CNC homology 1, basic leucine zipper transcription factor 1, BTB domain and CNC homolog 1, BTBD24, C21ORF41, LOC100911490	BTB domain and CNC homolog 1	BACH1	2644.967862	0.166971897	0.067266058	Nucleus	transcription regulator		571	12013	304127			
BAP1	2300006C11Rik, AA989761, AW553466, BRCA1 associated protein 1, HUCEP-13, hucep-6, mKIAA0272, Ubiquitin Carboxy-terminal Hydrolase, uch-x4, UCHL2	BRCA1 associated protein 1	BAP1	4150.569895	-0.023826495	0.769993462	Nucleus	peptidase		8314	104416	306257			
Basc							Nucleus	complex							
BBC3	BCL2 binding component 3, JFY-1, PUMA, PUMA/JFY1	BCL2 binding component 3	BBC3	628.0550152	-0.386181495	0.000191161	Cytoplasm	other		27113	170770	317673			
BCL2	AW986256, B cell leukaemia/lymphoma 2, B cell leukemia/lymphoma 2, Bcl2 alpha, Bcl2 _, BCL2, apoptosis regulator, C430015F12Rik, D630044D05RIK, D830018M01RIK, LOC100046608, ORF16, PPP1R50	BCL2, apoptosis regulator	BCL2	302.4717447	-1.004760382	5.58724E-15	Cytoplasm	transporter	oblimersen, rasagiline, (-)-gossypol, obatoclax, BCL-2 blocker, navitoclax, gemcitabine/paclitaxel, bortezomib/paclitaxel, venetoclax, paclitaxel/trastuzumab, paclitaxel/pertuzumab/trastuzumab, lapatinib/paclitaxel, doxorubicin/paclitaxel, epirubicin/paclitaxel, paclitaxel/ramucirumab, paclitaxel/topotecan, BCL201, S 055746, APG-1252, rituximab/venetoclax, paclitaxel/rituximab, afatinib/paclitaxel, doxorubicin/lapatinib/paclitaxel/trastuzumab, paclitaxel, chelerythrine	596	12043	24224			
BCL2L1	bBclxl, Bcl-X beta, Bcl-X _, BCL-XL/S, BCL2-like 1, BCL2L, BCLX, Bclx gamma, Bclx _, PPP1R52	BCL2 like 1	BCL2L1	5240.934387	0.597035581	9.54548E-27	Cytoplasm	other		598	12048	24888			
BCLAF1	2610102K23RIK, 2700025J07Rik, 2810454G14Rik, 5730534O06Rik, Aa2-041, AI450190, AW556225, BCL2-associated transcription factor 1, bK211L9.1, BTF, KIAA0164, mKIAA0164	BCL2 associated transcription factor 1	BCLAF1	6866.650355	0.400114724	1.5582E-09	Nucleus	transcription regulator		9774	72567	293017			
BCR	5133400C09Rik, AI561783, AI853148, ALL, BCR, RhoGEF and GTPase activating protein, BCR1, breakpoint cluster region, CML, D22S11, D22S662, mKIAA3017, p160Bcr, PHL	BCR, RhoGEF and GTPase activating protein	BCR	69.7859949	-0.222619011	0.427543125	Cytoplasm	kinase	BCR targeting agent	613	110279	309696			
BCR (complex)	B cell antigen receptors, B Cell Receptor, Bcr (B-cell receptor complex)						Plasma Membrane	complex	B cell receptor antagonist						
benserazide	2-amino-3-hydroxy-N'-[(2,3,4-trihydroxyphenyl)methyl]propanehydrazide, 322-35-0, C10H15N3O5, DL-serine 2-(2,3,4-trihydroxybenzyl)hydrazide, DL-serine, 2-((2,3,4-trihydroxyphenyl)methyl)hydrazide, Ro 4-4602						Other	chemical drug					2327	--	322-35-0
beta-estradiol	(17)estradiol, (8R,9S,13S,14S,17S)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol, 1,3,5(10)-estratriene-3,17beta-diol, 17 _-estradiol, 17-beta-E2, 17-beta-estradiol, 17-beta-oestradiol, 17-betaE, 17-_-E2, 17-_-estradiol, 17-_-oestradiol, 17B-estradiol, 50-28-2, Aerodiol, Agofollin, Alora, Altrad, Amnestrogen, Aquadiol, Bardiol, BHR-200, C18H24O2, Climaderm, Climara, Compudose, Compudose 200, Compudose 365, Corpagen, Dermestril, Dihydromenformon, Dihydrotheelin, Dimenformon, Dimenformon Prolongatum, Diogyn, Diogynets, Divigel, E2, Elestrin, Encore, Esclim, estra-1, 3, 5(10)-triene-3, 17b-diol, Estrace, Estraderm, Estraderm Tts, estradiol, estradiol hemihydrate, estradiol-17_, Estradurin, Estrasorb, Estreva, Estrifam, Estring, Estring Vaginal Ring, Estroclim, Estroclim 50, Estrofem 2, Estrofem Forte, Estrogel, Estrogens, Esterified, Estrovite, Evamist, Evorel, Extrasorb, Femestral, Femestrol, Feminone, Femogen, Fempatch, Femtrace, Femtran, Follicyclin, Ginedisc, Ginosedol, Gynergon, Gynestrel, Gynodiol, Gynoestryl, Gynpolar, Innofem, Lamdiol, Macrodiol, Macrol, Menorest, Menostar, Microdiol, Minivelle, Nordicol, Oestergon, Oestradiol, Oestradiol R, Oestrogel, Oestroglandol, Oestrogynal, Ovahormon, Ovasterol, Ovastevol, Ovociclina, Ovocyclin, Ovocycline, Ovocylin, Perlatanol, Primofol, Profoliol, Profoliol B, Progynon, Progynon Dh, Progynon-Dh, Ricifon, Ritsifon, Sandrena Gel, Sisare Gel, Sk-Estrogens, Soldep, Sotipox, Syndiol, Systen, Tradelia, Trial Sat, Trocosone, Vagifem, Vivelle, Vivelle-Dot, Zerella, Zumenon, _-estradiol						Other	chemical - endogenous mammalian					5757	HMDB0000151	50-28-2
bleomycin	11056-06-7, 3-[[2-[2-[2-[[(2S,3R)-2-[[(2S,3S,4R)-4-[[(2S)-2-[[6-amino-2-[(1S)-3-amino-1-[[(2S)-2,3-diamino-3-oxopropyl]amino]-3-oxopropyl]-5-methylpyrimidine-4-carbonyl]amino]-3-[(2R,3S,4S,5S,6S)-3-[(2R,3S,4S,5R,6R)-4-carbamoyloxy-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-(1H-imidazol-5-yl)propanoyl]amino]-3-hydroxy-2-methylpentanoyl]amino]-3-hydroxybutanoyl]amino]ethyl]-1,3-thiazol-4-yl]-1,3-thiazole-4-carbonyl]amino]propyl-dimethylsulfanium, 3-[[2-[2-[2-[[(2S,3R)-2-[[(2S,3S,4R)-4-[[(2S,3R)-2-[[6-amino-2-[(1S)-1-[[(2S)-2-amino-2-carbamoyl-ethyl]amino]-2-carbamoyl-ethyl]-5-methyl-pyrimidine-4-carbonyl]amino]-3-[3-[4-carbamoyloxy-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-(3H-imidazol-4-yl)propanoyl]amino]-3-hydroxy-2-methyl-pentanoyl]amino]-3-hydroxy-butanoyl]amino]ethyl]-1,3-thiazol-4-yl]1,3-thiazole-4-carbonyl]amino]propyl-dimethyl-sulfanium, 3-[[2-[2-[2-[[(2S,3R)-2-[[(2S,3S,4R)-4-[[(2S,3R)-2-[[6-amino-2-[(1S)-1-[[(2S)-2-amino-2-carbamoyl-ethyl]amino]-2-carbamoyl-ethyl]-5-methyl-pyrimidine-4-carbonyl]amino]-3-[3-[4-carbamoyloxy-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-(3H-imidazol-4-yl)propanoyl]amino]-3-hydroxy-2-methyl-pentanoyl]amino]-3-hydroxy-butanoyl]amino]ethyl]-1,3-thiazol-4-yl]1,3-thiazole-4-carbonyl]amino]propyl-dimethyl-sulphanium, 9041-93-4, Blenoxane, bleomycin sulfate, bleomycin sulphate, C55H84N17O21S3+						Other	chemical drug					456190	HMDB0014435	11056-06-7
BLM	Bloom syndrome, Bloom syndrome RecQ like helicase, Bloom syndrome, RecQ like helicase, Blooms syndrome, BS, RECQ2, RECQL2, RECQL3	Bloom syndrome RecQ like helicase	BLM	1460.715337	0.580670655	1.33356E-19	Nucleus	enzyme		641	12144	308755			
BMI1	AW546694, BMI1 proto-oncogene, polycomb ring finger, FLVI2/BMI1, PCGF4, RNF51	BMI1 proto-oncogene, polycomb ring finger	BMI1	3307.576275	0.057535118	0.600146551	Nucleus	transcription regulator	PTC596	648					
BRCA1	BRCA1, DNA repair associated, BRCAI, BRCC1, breast cancer 1, early onset, BROVCA1, FANCS, PNCA4, PPP1R53, PSCP, RNF53	BRCA1, DNA repair associated	BRCA1	2112.914948	0.111907524	0.080618249	Nucleus	transcription regulator		672	12189	497672			
BRCA1-BARD1-BRCA2-Rad51-FANCD2							Nucleus	complex							
BRCA2	AW045498, BRCA2, DNA repair associated, BRCC2, breast cancer 2, early onset, BROVCA2, FACD, FAD, FAD1, FANCD, FANCD1, GLM3, PNCA2, RAB163, XRCC11	BRCA2, DNA repair associated	BRCA2	1315.796739	0.390317591	3.42529E-06	Nucleus	transcription regulator		675	12190	360254			
BRCC3	BRCA1/BRCA2-containing complex subunit 3, BRCA1/BRCA2-containing complex, subunit 3, BRCC36, C6.1A, CXorf53	BRCA1/BRCA2-containing complex subunit 3					Nucleus	enzyme		79184	210766	316794			
BRIP1	3110009N10Rik, 8030460J03Rik, BACH1, BRCA1 interacting protein C-terminal helicase 1, FACJ, FANCJ, OF	BRCA1 interacting protein C-terminal helicase 1	BRIP1	2464.190134	0.13638653	0.150852369	Nucleus	enzyme		83990	237911	360588			
BTG2	AA959598, Agl, An, an-1, APRO1, B cell translocation gene 2, anti-proliferative, BTG anti-proliferation factor 2, PC3, TIS21	BTG anti-proliferation factor 2	BTG2	1574.731993	0.027035757	0.797902031	Nucleus	transcription regulator		7832	12227	29619			
C7orf49	3110062M04Rik, AL023049, chromosome 7 open reading frame 49, CYREN, LOC653739, MRI, MRI-2, RIKEN cDNA 3110062M04 gene, similar to RIKEN cDNA 3110062M04	chromosome 7 open reading frame 49	C7orf49	378.4814357	0.348450239	0.002444534	Other	other		78996	78412	500077			
CAAP1	5830433M19Rik, AI536248, C9orf82, CAAP, caspase activity and apoptosis inhibitor 1	caspase activity and apoptosis inhibitor 1	CAAP1	1315.069431	0.006550526	0.955367245	Other	other		79886	67770	500501			
cadmium	7440-43-9, cadmium, Cd						Other	chemical toxicant					23973	--	7440-43-9
CAF-1							Nucleus	complex							
caffeine	1,3,7-trimethylpurine-2,6-dione, 1H-purine-2,6-dione, 3,7-dihydro-1,3,7-trimethyl-, 58-08-2, 69-22-7, 8000-95-1, Alert-Pep, C8H10N4O2, Cafamil, Cafcit, Cafecon, Caffedrine, Caffedrine Caplets, Caffeine Anhydrous, caffeine citrate, Caffeine-Sodium Benzoate, Caffine, Cafipel, Coffein, Coffeine, Darvon Compound, Dasin, Dexitac, Dexitac Stay Alert Stimulant, Dhc Plus, Diurex, Durvitan, Eldiatric C, Enerjets, Ercatab, Guaranine, Hycomine, Invagesic, Invagesic Forte, Keep Alert, Kofein, Koffein, Lanorinal, Mateina, Maximum Strength Snapback Stimulant Powders, Medigesic Plus, methyltheobromine, Migergot, Miudol, Natural Caffeinum, Nix Nap, No-Doz, Nodaca, Nodoz Maximum Strength Caplets, Organex, Pep-Back, Phensal, Propoxyphene Compound-65, Quick Pep, Refresh'n, SK 65 Compound, Stim, Synalgos-Dc, Thein, Theine, Ultra Pep-Back, Vivarin, Wake-Up, xanthine, 1,3,7-trimethyl						Other	chemical drug					2519	HMDB0001847	58-08-2
calcitriol	(1R,3S,5Z)-5-[(2E)-2-[(1R,3aS,7aR)-1-[(2R)-6-hydroxy-6-methylheptan-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexane-1,3-diol, 1, 25-DHCC, 1, 25-diOHC, 1,25(OH)2D3, 1,25-D3, 1,25-dihydroxyvitamin D3, 1-alpha, 25-dihydroxy vitamin D3, 1-_, 25-dihydroxy vitamin D3, 1a, 25-dihydroxycholecalciferol, 1alpha,25(OH)2-vitamin D3, 1alpha,25-dihydroxyvitamin D(3), 20-epi-1,25(OH)2D3, 32222-06-3, 9,10- seco(5Z,7E)-5,7,10(19)-cholestatriene-1a,3b,25-triol, C27H44O3, dihydroxy-vitamin D3, Rocaltrol						Other	chemical drug					5280453	HMDB0001903	32222-06-3
